,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
15-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,1.6,3.8,NA,2.8,0.2,0.3,0.5,6.6,0.5,0.2,0.1,0.2,4.6,0.3,1.8,1.3,0.7,4.7,0.5,5,5.2,2.2,4.1,0.4,0.7,9.3,1.3,0,0,4.3,1.5,1.8,0.4,0.5,0.5,0.3
16-Dec,NA,NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,1.8,4.3,NA,3.1,0.2,0.3,0.6,6.9,0.6,0.1,0.1,0.3,4.9,0.3,2,1.5,0.9,4.6,0.4,5.4,5.9,3.3,5.9,0.4,0.7,12.3,1.3,0,0,4.8,1.2,1.9,0.5,0.3,0.5,0.2
17-Dec,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA,1.7,14.6,NA,3.5,0.2,0.3,0.5,7.1,0.6,0.2,0.1,0.4,5.3,0.3,1.8,1.7,1.5,4.5,0.4,5.9,6.5,3.7,6,0.5,0.6,13.4,1.2,0,0,5.3,1.3,1.7,0.6,0.3,0.6,0.2
18-Dec,NA,NA,NA,NA,18.8,NA,2.8,NA,NA,NA,NA,NA,NA,9.1,NA,NA,1.6,16.8,NA,3.8,0.2,0.2,0.5,7.3,0.6,0.2,0.1,0.4,5.6,0.4,1.7,1.9,2.1,4.3,0.3,5.6,7,3.7,8.1,0.6,0.3,11.2,1.1,0,0,3.1,1.2,2.7,0.8,0.3,0.8,0.2
19-Dec,NA,NA,NA,NA,19.4,NA,2.5,NA,NA,NA,NA,NA,NA,10.4,NA,NA,1.5,18,NA,4.3,0.2,0.2,0.4,7.5,0.5,0.2,0.2,0.5,6,0.4,1.7,1.9,2.7,4.2,0.4,4.8,8.1,3.8,6,0.4,0.4,10.3,1.3,0,0,2.1,1.3,3.7,1,0.3,0.7,0.4
20-Dec,10.5,NA,NA,NA,19.9,NA,2.3,NA,NA,NA,NA,8.2,NA,11.6,NA,NA,1.5,19.3,NA,4.8,0.4,0.2,0.4,7.7,0.5,0.4,0.4,0.5,6.3,0.4,1.8,1.9,3.2,4.1,0.4,4.4,9.7,3.7,7.1,0.4,0.4,10.9,1.9,0.2,0,2.7,1.3,3.8,0.9,0.5,1,0.4
21-Dec,11.9,NA,NA,NA,20.4,3.6,2,NA,NA,0.9,0.6,9.3,NA,12.9,NA,NA,1.4,21.6,NA,4.7,0.7,0.2,0.4,8,0.4,0.5,0.5,0.5,6.7,0.4,1.9,1.9,4,5.2,0.4,4.2,10.5,3.7,8.1,0.4,0.5,10.9,4.5,0.2,0,3.7,1.4,4.4,0.8,0.6,1.4,0.4
22-Dec,11.6,NA,NA,NA,20.9,5.4,1.7,NA,NA,1.1,0.6,10,0.7,14.9,NA,NA,1.4,23.8,NA,4.7,0.9,0.2,0.4,8.1,0.3,0.6,0.6,1.1,8.8,0.4,1.9,2,4.7,6.2,0.4,4.5,11.6,3.7,7.6,0.3,0.4,9.6,4.6,0.2,0,3.6,1.1,3,0.7,0.8,2.2,1.2
23-Dec,10.9,NA,NA,10,21.1,6.6,1.5,NA,NA,1.2,0.6,10.8,2.5,16,NA,NA,1.4,26,NA,4.6,1.3,0.6,0.4,8.1,1,0.7,0.8,1.6,11,0.3,2,2.2,5.3,6.2,0.4,4.1,11.9,3.6,5.3,0.3,0.5,9.1,3.3,0.2,0,3.2,1.7,2.6,0.6,1.2,2.4,0.4
24-Dec,10.6,NA,NA,10.5,24.1,7.8,1.2,NA,9.6,1.3,0.7,11.5,4,17.1,NA,NA,1.8,28.1,NA,5.3,1.8,1.1,0.4,8.1,1.6,0.8,0.9,2.1,13.1,0.2,2.1,2.6,6.4,6.2,0.4,3.9,12.5,3.6,5.7,0.5,0.5,9.5,1.9,0.2,0.2,2.8,2.1,2.5,0.7,1.6,3.9,0.4
25-Dec,9.8,NA,NA,10.4,25.8,9,0.8,NA,14.3,1.4,0.7,12.3,5.5,18.2,NA,NA,2,29.5,NA,5.1,2.2,1.6,0.4,8.2,2.2,0.9,1.1,2.3,15.2,0.7,2.2,2.9,7.4,6,0.4,4.2,12.9,3.5,5.8,0.5,0.9,14.5,1.4,0.3,0.3,4,1.6,2.4,1.1,1.5,6.1,0.4
26-Dec,9.1,NA,NA,10.8,27.6,10.3,2.6,NA,17,1.5,0.7,13,6.5,19.3,NA,NA,3.7,31.1,NA,5,3,2,0.4,8.8,2.3,1,1.6,2.5,15.8,1.1,2.2,2.6,8.3,5.9,0.4,4.6,11.6,3.4,6.1,0.4,1.3,13.3,1.2,0.2,0.4,5.9,2,2.2,1.3,1.4,7,0.2
27-Dec,8.7,NA,NA,11.1,29.5,11.5,3.7,NA,19.6,1.6,0.7,13.7,8,20.5,1.8,NA,4.2,32.6,NA,4.9,4,4.6,0.4,9.4,2.3,1,2.2,2.7,16.2,1.5,2.5,2.4,9.2,5.4,0.4,4.9,10.5,3,5.6,0.6,1.5,13.2,1.3,0.2,0.6,9.2,2.5,1.9,2.4,1.4,6.8,0.2
